,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
84,0,3.0,150,0.0014506999868899584,"[0, 1, 0, 0, 0, 1, 0, 0]",150,0.5,500
85,100,14.0,453,0.014089000062085688,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.5,500
86,200,14.0,453,0.014089000062085688,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.5,500
87,300,14.0,453,0.014089000062085688,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.5,500
88,400,14.0,453,0.014089000062085688,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.5,500
89,500,14.0,453,0.014089000062085688,"[1, 1, 1, 1, 1, 1, 0, 0]",150,0.5,500
90,0,3.0,200,0.0019234000938013196,"[0, 1, 0, 0, 0, 1, 0, 0]",200,0.1,500
91,100,14.0,603,0.013312600087374449,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.1,500
92,200,14.0,603,0.013312600087374449,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.1,500
93,300,14.0,603,0.013312600087374449,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.1,500
94,400,14.0,603,0.013312600087374449,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.1,500
95,500,14.0,603,0.013312600087374449,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.1,500
96,0,3.0,200,0.0018076000269502401,"[0, 1, 0, 0, 0, 1, 0, 0]",200,0.2,500
97,100,14.0,603,0.0186609000666067,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,500
98,200,14.0,603,0.0186609000666067,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,500
99,300,14.0,603,0.0186609000666067,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,500
100,400,14.0,603,0.0186609000666067,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,500
101,500,14.0,603,0.0186609000666067,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.2,500
102,0,3.0,200,0.0017999999690800905,"[0, 1, 0, 0, 0, 1, 0, 0]",200,0.3,500
103,100,14.0,603,0.014360100030899048,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.3,500
104,200,14.0,603,0.014360100030899048,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.3,500
105,300,14.0,603,0.014360100030899048,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.3,500
106,400,14.0,603,0.014360100030899048,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.3,500
107,500,14.0,603,0.014360100030899048,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.3,500
108,0,3.0,200,0.001755499979481101,"[0, 1, 0, 0, 0, 1, 0, 0]",200,0.4,500
109,100,14.0,603,0.01322029996663332,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.4,500
110,200,14.0,603,0.01322029996663332,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.4,500
111,300,14.0,603,0.01322029996663332,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.4,500
112,400,14.0,603,0.01322029996663332,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.4,500
113,500,14.0,603,0.01322029996663332,"[1, 1, 1, 1, 1, 1, 0, 0]",200,0.4,500
114,0,3.0,200,0.0017376999603584409,"[0, 1, 0, 0, 0, 1, 0, 0]",200,0.5,500
115,100,14.0,603,0.013859699945896864,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.5,500
116,200,14.0,603,0.013859699945896864,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.5,500
117,300,14.0,603,0.013859699945896864,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.5,500
118,400,14.0,603,0.013859699945896864,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.5,500
119,500,14.0,603,0.013859699945896864,"[1, 1, 0, 0, 0, 0, 0, 0]",200,0.5,500
120,0,3.0,250,0.002122600097209215,"[0, 1, 0, 0, 0, 1, 0, 0]",250,0.1,500
121,100,14.0,753,0.01613050000742078,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.1,500
122,200,14.0,753,0.01613050000742078,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.1,500
123,300,14.0,753,0.01613050000742078,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.1,500
124,400,14.0,753,0.01613050000742078,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.1,500
125,500,14.0,753,0.01613050000742078,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.1,500
126,0,3.0,250,0.002126600011251867,"[0, 1, 0, 0, 0, 1, 0, 0]",250,0.2,500
127,100,14.0,753,0.015625700005330145,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.2,500
128,200,14.0,753,0.015625700005330145,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.2,500
129,300,14.0,753,0.015625700005330145,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.2,500
130,400,14.0,753,0.015625700005330145,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.2,500
131,500,14.0,753,0.015625700005330145,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.2,500
132,0,3.0,250,0.0020620999857783318,"[0, 1, 0, 0, 0, 1, 0, 0]",250,0.3,500
133,100,14.0,753,0.015344600076787174,"[0, 0, 0, 0, 0, 0, 1, 1]",250,0.3,500
134,200,14.0,753,0.015344600076787174,"[0, 0, 0, 0, 0, 0, 1, 1]",250,0.3,500
135,300,14.0,753,0.015344600076787174,"[0, 0, 0, 0, 0, 0, 1, 1]",250,0.3,500
136,400,14.0,753,0.015344600076787174,"[0, 0, 0, 0, 0, 0, 1, 1]",250,0.3,500
137,500,14.0,753,0.015344600076787174,"[0, 0, 0, 0, 0, 0, 1, 1]",250,0.3,500
138,0,3.0,250,0.0021099000005051494,"[0, 1, 0, 0, 0, 1, 0, 0]",250,0.4,500
139,100,14.0,753,0.018369099940173328,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.4,500
140,200,14.0,753,0.018369099940173328,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.4,500
141,300,14.0,753,0.018369099940173328,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.4,500
142,400,14.0,753,0.018369099940173328,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.4,500
143,500,14.0,753,0.018369099940173328,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.4,500
144,0,3.0,250,0.002226599957793951,"[0, 1, 0, 0, 0, 1, 0, 0]",250,0.5,500
145,100,14.0,753,0.016326899989508092,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.5,500
146,200,14.0,753,0.016326899989508092,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.5,500
147,300,14.0,753,0.016326899989508092,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.5,500
148,400,14.0,753,0.016326899989508092,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.5,500
149,500,14.0,753,0.016326899989508092,"[1, 1, 0, 0, 0, 0, 0, 0]",250,0.5,500
150,0,3.0,300,0.0025797999696806073,"[0, 1, 0, 0, 0, 1, 0, 0]",300,0.1,500
151,100,14.0,903,0.018493999959900975,"[1, 1, 1, 1, 1, 1, 0, 0]",300,0.1,500
152,200,14.0,903,0.018493999959900975,"[1, 1, 1, 1, 1, 1, 0, 0]",300,0.1,500
153,300,14.0,903,0.018493999959900975,"[1, 1, 1, 1, 1, 1, 0, 0]",300,0.1,500
154,400,14.0,903,0.018493999959900975,"[1, 1, 1, 1, 1, 1, 0, 0]",300,0.1,500
155,500,14.0,903,0.018493999959900975,"[1, 1, 1, 1, 1, 1, 0, 0]",300,0.1,500
156,0,3.0,300,0.002421200042590499,"[0, 1, 0, 0, 0, 1, 0, 0]",300,0.2,500
157,100,14.0,903,0.017847100039944053,"[0, 0, 1, 1, 1, 1, 1, 1]",300,0.2,500
158,200,14.0,903,0.017847100039944053,"[0, 0, 1, 1, 1, 1, 1, 1]",300,0.2,500
159,300,14.0,903,0.017847100039944053,"[0, 0, 1, 1, 1, 1, 1, 1]",300,0.2,500
160,400,14.0,903,0.017847100039944053,"[0, 0, 1, 1, 1, 1, 1, 1]",300,0.2,500
161,500,14.0,903,0.017847100039944053,"[0, 0, 1, 1, 1, 1, 1, 1]",300,0.2,500
162,0,3.0,300,0.002465600031428039,"[0, 1, 0, 0, 0, 1, 0, 0]",300,0.3,500
163,100,14.0,903,0.01821930008009076,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.3,500
164,200,14.0,903,0.01821930008009076,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.3,500
165,300,14.0,903,0.01821930008009076,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.3,500
166,400,14.0,903,0.01821930008009076,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.3,500
167,500,14.0,903,0.01821930008009076,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.3,500
168,0,3.0,300,0.0034914000425487757,"[0, 1, 0, 0, 0, 1, 0, 0]",300,0.4,500
169,100,14.0,903,0.020707900053821504,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.4,500
170,200,14.0,903,0.020707900053821504,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.4,500
171,300,14.0,903,0.020707900053821504,"[1, 1, 0, 0, 0, 0, 0, 0]",300,0.4,500
