,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
68,200,14.0,453,0.02796209999360144,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.2,500
69,300,14.0,453,0.02796209999360144,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.2,500
70,400,14.0,453,0.02796209999360144,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.2,500
71,500,14.0,453,0.02796209999360144,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.2,500
72,0,3.0,150,0.001262499950826168,"[0, 1, 0, 0, 0, 1, 0, 0]",False,150,0.3,500
73,100,14.0,453,0.029434100026264787,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.3,500
74,200,14.0,453,0.029434100026264787,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.3,500
75,300,14.0,453,0.029434100026264787,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.3,500
76,400,14.0,453,0.029434100026264787,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.3,500
77,500,14.0,453,0.029434100026264787,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",False,150,0.3,500
78,0,3.0,150,0.0012930999509990215,"[0, 1, 0, 0, 0, 1, 0, 0]",False,150,0.4,500
79,100,14.0,453,0.02834439999423921,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.4,500
80,200,14.0,453,0.02834439999423921,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.4,500
81,300,14.0,453,0.02834439999423921,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.4,500
82,400,14.0,453,0.02834439999423921,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.4,500
83,500,14.0,453,0.02834439999423921,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.4,500
84,0,3.0,150,0.001253599999472499,"[0, 1, 0, 0, 0, 1, 0, 0]",False,150,0.5,500
85,100,14.0,453,0.029049500008113682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.5,500
86,200,14.0,453,0.029049500008113682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.5,500
87,300,14.0,453,0.029049500008113682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.5,500
88,400,14.0,453,0.029049500008113682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.5,500
89,500,14.0,453,0.029049500008113682,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",False,150,0.5,500
90,0,3.0,200,0.0017452000174671412,"[0, 1, 0, 0, 0, 1, 0, 0]",False,200,0.1,500
