,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
45,400,13.0,314,0.01809459994547069,"[1, 1, 1, 1, 1, 0, 0, 1]",3,600,2
46,500,13.0,314,0.01809459994547069,"[1, 1, 1, 1, 1, 0, 0, 1]",3,600,2
47,600,13.0,314,0.01809459994547069,"[1, 1, 1, 1, 1, 0, 0, 1]",3,600,2
48,0,10.0,314,0.020251199952326715,"[1, 0, 1, 1, 0, 0, 1, 1]",3,600,3
49,200,14.0,429,0.03011659998446703,"[0, 0, 0, 0, 0, 0, 1, 1]",3,600,3
50,300,14.0,429,0.03011659998446703,"[0, 0, 0, 0, 0, 0, 1, 1]",3,600,3
51,400,14.0,429,0.03011659998446703,"[0, 0, 0, 0, 0, 0, 1, 1]",3,600,3
52,500,14.0,429,0.03011659998446703,"[0, 0, 0, 0, 0, 0, 1, 1]",3,600,3
53,600,14.0,429,0.03011659998446703,"[0, 0, 0, 0, 0, 0, 1, 1]",3,600,3
54,0,3.0,0,7.850001566112041e-05,"[0, 1, 0, 0, 0, 1, 0, 0]",4,600,0
